Timestamp,Substation_ID,Asset_ID,Voltage_V,Current_A,Power_kW,Frequency_Hz,Energy_Consumed_kWh,Load_Type,Fault_Event,Reconfig_Action,Asset_Type
2025-05-01 00:00:00,SS_001,TR_01,232.48,9.59,2.23,50.13,0.0372,Industrial,None,None,Transformer
2025-05-01 00:01:00,SS_001,SW_01,237.62,9.3,2.21,49.95,0.0368,Industrial,None,None,Switch
2025-05-01 00:02:00,SS_001,SM_01,237.9,12.3,2.93,49.91,0.0488,Residential,None,None,SmartMeter
2025-05-01 00:03:00,SS_001,SW_01,232.71,8.61,2.0,49.91,0.0333,Commercial,None,None,Switch
2025-05-01 00:04:00,SS_002,SM_01,231.21,4.26,0.98,49.66,0.0163,Commercial,None,None,SmartMeter
2025-05-01 00:05:00,SS_001,SM_01,227.19,6.96,1.58,50.06,0.0263,Industrial,None,None,SmartMeter
2025-05-01 00:06:00,SS_002,TR_01,225.46,5.76,1.3,50.29,0.0217,Industrial,None,None,Transformer
2025-05-01 00:07:00,SS_001,TR_01,228.87,10.2,2.33,49.72,0.0388,Residential,None,None,Transformer
2025-05-01 00:08:00,SS_002,TR_01,227.28,10.33,2.35,49.77,0.0392,Residential,Outage,Load_Balance,Transformer
2025-05-01 00:09:00,SS_001,SM_01,231.88,8.2,1.9,49.94,0.0317,Commercial,None,None,SmartMeter
2025-05-01 00:10:00,SS_002,SW_01,226.99,15.56,3.53,50.0,0.0588,Commercial,None,None,Switch
2025-05-01 00:11:00,SS_002,SM_01,224.71,12.47,2.8,49.76,0.0467,Industrial,None,None,SmartMeter
2025-05-01 00:12:00,SS_001,SM_01,231.04,4.12,0.95,49.73,0.0158,Residential,None,None,SmartMeter
2025-05-01 00:13:00,SS_002,SM_01,230.98,12.22,2.82,50.03,0.047,Industrial,Overload,Load_Balance,SmartMeter
2025-05-01 00:14:00,SS_001,SW_01,229.42,9.1,2.09,49.7,0.0348,Commercial,None,None,Switch
2025-05-01 00:15:00,SS_002,SM_01,226.4,8.62,1.95,50.21,0.0325,Commercial,None,None,SmartMeter
2025-05-01 00:16:00,SS_001,SW_01,231.72,4.71,1.09,50.06,0.0182,Residential,None,None,Switch
2025-05-01 00:17:00,SS_002,TR_01,228.07,7.97,1.82,50.12,0.0303,Residential,None,None,Transformer
2025-05-01 00:18:00,SS_001,SM_01,235.15,12.79,3.01,49.83,0.0502,Residential,None,None,SmartMeter
2025-05-01 00:19:00,SS_001,SM_01,228.45,10.99,2.51,50.2,0.0418,Residential,None,None,SmartMeter
2025-05-01 00:20:00,SS_002,SM_01,227.6,9.44,2.15,49.78,0.0358,Commercial,None,None,SmartMeter
2025-05-01 00:21:00,SS_001,SM_01,224.02,12.44,2.79,50.27,0.0465,Industrial,None,None,SmartMeter
2025-05-01 00:22:00,SS_001,SW_01,229.64,13.01,2.99,50.07,0.0498,Industrial,None,None,Switch
2025-05-01 00:23:00,SS_002,TR_01,226.77,11.08,2.51,50.31,0.0418,Industrial,None,None,Transformer
2025-05-01 00:24:00,SS_002,SM_01,229.82,14.69,3.38,49.48,0.0563,Industrial,None,None,SmartMeter
2025-05-01 00:25:00,SS_001,SW_01,234.11,10.26,2.4,49.94,0.04,Commercial,None,None,Switch
2025-05-01 00:26:00,SS_002,SM_01,230.46,4.04,0.93,49.96,0.0155,Commercial,None,None,SmartMeter
2025-05-01 00:27:00,SS_002,SM_01,231.79,14.43,3.34,49.9,0.0557,Residential,None,None,SmartMeter
2025-05-01 00:28:00,SS_002,SW_01,225.96,8.49,1.92,50.18,0.032,Commercial,None,None,Switch
2025-05-01 00:29:00,SS_002,TR_01,231.64,8.41,1.95,50.1,0.0325,Industrial,None,None,Transformer
2025-05-01 00:30:00,SS_002,SW_01,230.49,12.91,2.98,49.86,0.0497,Industrial,None,None,Switch
2025-05-01 00:31:00,SS_002,TR_01,228.36,8.82,2.01,49.71,0.0335,Commercial,None,None,Transformer
2025-05-01 00:32:00,SS_002,SM_01,231.48,10.78,2.5,50.0,0.0417,Industrial,None,None,SmartMeter
2025-05-01 00:33:00,SS_002,SW_01,228.83,5.75,1.32,49.92,0.022,Commercial,None,None,Switch
2025-05-01 00:34:00,SS_001,TR_01,228.29,7.59,1.73,49.97,0.0288,Industrial,None,None,Transformer
2025-05-01 00:35:00,SS_001,SM_01,232.02,15.66,3.63,50.03,0.0605,Commercial,None,None,SmartMeter
2025-05-01 00:36:00,SS_001,SM_01,231.29,9.78,2.26,49.62,0.0377,Industrial,Outage,Load_Balance,SmartMeter
2025-05-01 00:37:00,SS_002,SW_01,229.87,10.18,2.34,50.49,0.039,Commercial,None,None,Switch
2025-05-01 00:38:00,SS_001,SW_01,229.04,10.9,2.5,49.99,0.0417,Commercial,None,None,Switch
2025-05-01 00:39:00,SS_002,SM_01,224.16,13.43,3.01,50.15,0.0502,Commercial,None,None,SmartMeter
2025-05-01 00:40:00,SS_001,SM_01,233.96,7.27,1.7,50.28,0.0283,Industrial,None,None,SmartMeter
2025-05-01 00:41:00,SS_001,TR_01,222.99,11.76,2.62,50.44,0.0437,Industrial,None,None,Transformer
2025-05-01 00:42:00,SS_001,SW_01,225.05,8.3,1.87,50.02,0.0312,Residential,None,None,Switch
2025-05-01 00:43:00,SS_002,SM_01,227.48,5.35,1.22,50.01,0.0203,Industrial,None,None,SmartMeter
2025-05-01 00:44:00,SS_002,SM_01,224.69,11.42,2.57,49.82,0.0428,Residential,Outage,Load_Balance,SmartMeter
2025-05-01 00:45:00,SS_002,TR_01,237.75,7.65,1.82,49.94,0.0303,Residential,Outage,Load_Balance,Transformer
2025-05-01 00:46:00,SS_002,SW_01,234.07,6.31,1.48,50.05,0.0247,Industrial,UnderVoltage,Load_Balance,Switch
2025-05-01 00:47:00,SS_002,SW_01,236.54,5.18,1.23,50.04,0.0205,Industrial,None,None,Switch
2025-05-01 00:48:00,SS_001,SW_01,231.3,12.35,2.86,49.75,0.0477,Residential,None,None,Switch
2025-05-01 00:49:00,SS_001,SW_01,223.4,11.57,2.58,50.06,0.043,Residential,None,None,Switch
2025-05-01 00:50:00,SS_001,TR_01,231.25,11.04,2.55,49.86,0.0425,Residential,None,None,Transformer
2025-05-01 00:51:00,SS_001,SW_01,231.16,10.88,2.52,49.86,0.042,Residential,None,None,Switch
2025-05-01 00:52:00,SS_002,SM_01,239.33,11.42,2.73,49.76,0.0455,Commercial,None,None,SmartMeter
2025-05-01 00:53:00,SS_001,SW_01,233.28,7.08,1.65,50.16,0.0275,Residential,None,None,Switch
2025-05-01 00:54:00,SS_001,TR_01,235.79,7.54,1.78,50.19,0.0297,Residential,Outage,Load_Balance,Transformer
2025-05-01 00:55:00,SS_001,SW_01,232.06,12.47,2.89,50.38,0.0482,Residential,None,None,Switch
2025-05-01 00:56:00,SS_002,TR_01,228.77,7.74,1.77,49.82,0.0295,Commercial,None,None,Transformer
2025-05-01 00:57:00,SS_001,SW_01,225.92,9.77,2.21,50.07,0.0368,Residential,None,None,Switch
2025-05-01 00:58:00,SS_001,SM_01,231.38,12.48,2.89,50.0,0.0482,Industrial,None,None,SmartMeter
2025-05-01 00:59:00,SS_002,SW_01,237.27,9.21,2.19,50.54,0.0365,Commercial,None,None,Switch
2025-05-01 01:00:00,SS_001,SW_01,233.13,7.43,1.73,49.79,0.0288,Commercial,UnderVoltage,Load_Balance,Switch
2025-05-01 01:01:00,SS_001,TR_01,232.41,9.33,2.17,50.14,0.0362,Industrial,None,None,Transformer
2025-05-01 01:02:00,SS_001,TR_01,232.37,9.78,2.27,49.83,0.0378,Commercial,None,None,Transformer
